Country,Country_Code,Diabetes_Prevalence
Aruba,ABW,4.6
Africa Eastern and Southern,AFE,6.45404408992017
Afghanistan,AFG,11.7
Africa Western and Central,AFW,4.2192773884166
Angola,AGO,4.9
Albania,ALB,10.6
Andorra,AND,10.1
Arab World,ARB,17.2973017268651
United Arab Emirates,ARE,20.7
Argentina,ARG,14.0
Armenia,ARM,7.7
Antigua and Barbuda,ATG,11.6
Australia,AUS,7.4
Austria,AUT,5.4
Azerbaijan,AZE,10.2
Burundi,BDI,4.3
Belgium,BEL,5.9
Benin,BEN,8.1
Burkina Faso,BFA,4.5
Bangladesh,BGD,13.2
Bulgaria,BGR,7.4
Bahrain,BHR,22.1
"Bahamas, The",BHS,8.9
Bosnia and Herzegovina,BIH,10.3
Belarus,BLR,5.1
Belize,BLZ,14.1
Bermuda,BMU,13.4
Bolivia,BOL,3.4
Brazil,BRA,10.6
Barbados,BRB,13.2
Brunei Darussalam,BRN,13.7
Bhutan,BTN,12.0
Botswana,BWA,4.6
Central African Republic,CAF,7.6
Canada,CAN,7.7
Central Europe and the Baltics,CEB,7.87080652268354
Switzerland,CHE,5.3
Chile,CHL,12.2
China,CHN,11.9
Cote d'Ivoire,CIV,5.0
Cameroon,CMR,6.9
"Congo, Dem. Rep.",COD,7.7
"Congo, Rep.",COG,8.1
Colombia,COL,8.4
Comoros,COM,10.8
Cabo Verde,CPV,6.8
Costa Rica,CRI,9.8
Caribbean small states,CSS,12.9741084825892
Cuba,CUB,9.4
Curacao,CUW,13.4
Cayman Islands,CYM,11.1
Cyprus,CYP,10.0
Czechia,CZE,7.6
Germany,DEU,7.8
Djibouti,DJI,6.5
Dominica,DMA,12.9
Denmark,DNK,6.4
Dominican Republic,DOM,17.6
Algeria,DZA,17.5
East Asia & Pacific (excluding high income),EAP,11.1353659963515
Early-demographic dividend,EAR,12.3020275660919
East Asia & Pacific,EAS,10.8651898247313
Europe & Central Asia (excluding high income),ECA,10.5209498489679
Europe & Central Asia,ECS,7.99551816603019
Ecuador,ECU,4.9
"Egypt, Arab Rep.",EGY,22.4
Euro area,EMU,7.56344445277776
Eritrea,ERI,4.4
Spain,ESP,9.7
Estonia,EST,6.9
Ethiopia,ETH,4.4
European Union,EUU,7.562985196941
Fragile and conflict affected situations,FCS,6.97601622139546
Finland,FIN,6.9
Fiji,FJI,16.6
France,FRA,6.5
Faroe Islands,FRO,5.3
"Micronesia, Fed. Sts.",FSM,19.2
Gabon,GAB,8.5
United Kingdom,GBR,7.4
Georgia,GEO,6.7
Ghana,GHA,2.7
Guinea,GIN,4.6
"Gambia, The",GMB,5.5
Guinea-Bissau,GNB,4.8
Equatorial Guinea,GNQ,8.2
Greece,GRC,8.0
Grenada,GRD,11.3
Greenland,GRL,4.3
Guatemala,GTM,13.2
Guam,GUM,20.3
Guyana,GUY,16.4
High income,HIC,9.72898579411539
"Hong Kong SAR, China",HKG,8.2
Honduras,HND,5.0
Heavily indebted poor countries (HIPC),HPC,6.60860707458512
Croatia,HRV,10.5
Haiti,HTI,8.5
Hungary,HUN,8.3
IBRD only,IBD,11.0829757852289
IDA & IBRD total,IBT,10.9095939092628
IDA total,IDA,10.3508948963582
IDA blend,IDB,14.6088008639666
Indonesia,IDN,11.3
IDA only,IDX,8.10270247205049
Isle of Man,IMN,7.5
India,IND,10.5
Ireland,IRL,3.6
"Iran, Islamic Rep.",IRN,9.0
Iraq,IRQ,13.4
Iceland,ISL,6.9
Israel,ISR,10.1
Italy,ITA,7.7
Jamaica,JAM,12.5
Jordan,JOR,20.5
Japan,JPN,8.1
Kazakhstan,KAZ,6.8
Kenya,KEN,3.1
Kyrgyz Republic,KGZ,7.6
Cambodia,KHM,7.5
Kiribati,KIR,24.6
St. Kitts and Nevis,KNA,13.8
"Korea, Rep.",KOR,9.6
Kuwait,KWT,25.6
Latin America & Caribbean (excluding high income),LAC,11.4342281689354
Lao PDR,LAO,6.7
Lebanon,LBN,12.3
Liberia,LBR,9.2
Libya,LBY,15.8
St. Lucia,LCA,11.4
Latin America & Caribbean,LCN,11.3098936080165
Least developed countries: UN classification,LDC,7.85292122819199
Low income,LIC,7.69595130128294
Liechtenstein,LIE,7.2
Sri Lanka,LKA,10.2
Lower middle income,LMC,11.1622733196298
Low & middle income,LMY,11.1777477499814
Lesotho,LSO,6.2
Late-demographic dividend,LTE,10.9311200785653
Lithuania,LTU,7.5
Luxembourg,LUX,5.8
Latvia,LVA,7.1
"Macao SAR, China",MAC,8.1
Morocco,MAR,11.9
Monaco,MCO,6.9
Moldova,MDA,6.3
Madagascar,MDG,4.6
Maldives,MDV,9.5
"Middle East, North Africa, Afghanistan & Pakistan",MEA,20.1372780980832
Mexico,MEX,16.4
Marshall Islands,MHL,25.7
Middle income,MIC,11.4620731986091
North Macedonia,MKD,7.4
Mali,MLI,4.8
Malta,MLT,10.0
Myanmar,MMR,6.7
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,20.0769514378744
Montenegro,MNE,10.7
Mongolia,MNG,10.3
Mozambique,MOZ,3.0
Mauritania,MRT,5.2
Mauritius,MUS,20.1
Malawi,MWI,5.7
Malaysia,MYS,21.1
North America,NAC,13.0350704010611
Namibia,NAM,5.3
New Caledonia,NCL,22.0
Niger,NER,4.1
Nigeria,NGA,3.0
Nicaragua,NIC,10.4
Netherlands,NLD,5.0
Norway,NOR,4.8
Nepal,NPL,7.7
Nauru,NRU,21.8
New Zealand,NZL,6.7
OECD members,OED,10.5165263487106
Oman,OMN,17.0
Other small states,OSS,9.72961841247687
Pakistan,PAK,31.4
Panama,PAN,11.1
Peru,PER,6.4
Philippines,PHL,7.5
Palau,PLW,19.3
Papua New Guinea,PNG,14.1
Poland,POL,8.1
Pre-demographic dividend,PRE,6.34356773813422
Puerto Rico (US),PRI,10.9
"Korea, Dem. People's Rep.",PRK,9.9
Portugal,PRT,10.5
Paraguay,PRY,9.4
West Bank and Gaza,PSE,15.5
Pacific island small states,PSS,17.0708090275406
Post-demographic dividend,PST,9.46121365518996
French Polynesia,PYF,22.8
Qatar,QAT,24.6
Romania,ROU,7.5
Russian Federation,RUS,5.9
Rwanda,RWA,2.1
South Asia,SAS,10.7173486503525
Saudi Arabia,SAU,23.1
Sudan,SDN,19.0
Senegal,SEN,3.8
Singapore,SGP,11.4
Solomon Islands,SLB,12.0
Sierra Leone,SLE,4.8
El Salvador,SLV,12.7
San Marino,SMR,8.6
"Somalia, Fed. Rep.",SOM,5.8
Serbia,SRB,10.5
Sub-Saharan Africa (excluding high income),SSA,5.69564297111024
South Sudan,SSD,4.6
Sub-Saharan Africa,SSF,5.55989717914018
Small states,SST,11.3574229239809
Sao Tome and Principe,STP,12.1
Suriname,SUR,13.8
Slovak Republic,SVK,7.1
Slovenia,SVN,7.0
Sweden,SWE,5.8
Eswatini,SWZ,7.9
Seychelles,SYC,9.3
Syrian Arab Republic,SYR,19.0
Chad,TCD,7.3
East Asia & Pacific (IDA & IBRD countries),TEA,11.1509213612865
Europe & Central Asia (IDA & IBRD countries),TEC,8.64389698734676
Togo,TGO,4.8
Thailand,THA,10.2
Tajikistan,TJK,8.0
Turkmenistan,TKM,7.1
Latin America & the Caribbean (IDA & IBRD countries),TLA,11.3503761140369
Timor-Leste,TLS,3.2
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,20.1073707745161
Tonga,TON,19.6
South Asia (IDA & IBRD),TSA,10.7173486503525
Sub-Saharan Africa (IDA & IBRD countries),TSS,5.55989717914018
Trinidad and Tobago,TTO,12.4
Tunisia,TUN,16.0
Turkiye,TUR,16.5
Tuvalu,TUV,19.0
Tanzania,TZA,9.8
Uganda,UGA,2.2
Ukraine,UKR,6.0
Upper middle income,UMC,11.7527798413722
Uruguay,URY,7.8
United States,USA,13.7
Uzbekistan,UZB,7.5
St. Vincent and the Grenadines,VCT,8.6
"Venezuela, RB",VEN,8.6
Virgin Islands (U.S.),VIR,9.1
Viet Nam,VNM,3.4
Vanuatu,VUT,19.7
World,WLD,10.7972882953105
Samoa,WSM,25.4
Kosovo,XKX,10.4
"Yemen, Rep.",YEM,5.5
South Africa,ZAF,7.2
Zambia,ZMB,10.3
Zimbabwe,ZWE,1.5
