Country,Country_Code,"Obesity among adults, BMI >= 30 kg/m2 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years of age"
Afghanistan,AFG,17.805538
Albania,ALB,26.45891
Algeria,DZA,23.82292
Andorra,AND,19.466227
Angola,AGO,11.380967
Antigua and Barbuda,ATG,34.71318
Argentina,ARG,37.01727
Armenia,ARM,28.00131
Australia,AUS,31.911934
Austria,AUT,17.978148
Azerbaijan,AZE,28.433779
Bahamas,BHS,47.772232
Bahrain,BHR,35.240536
Bangladesh,BGD,5.404747
Barbados,BRB,38.951454
Belarus,BLR,26.04441
Belgium,BEL,22.543743
Belize,BLZ,42.42959
Benin,BEN,10.48862
Bhutan,BTN,12.380952
Bolivia,BOL,28.02505
Bosnia and Herzegovina,BIH,25.655657
Botswana,BWA,17.496462
Brazil,BRA,29.83751
Brunei,BRN,36.616688
Bulgaria,BGR,23.723598
Burkina Faso,BFA,6.5721436
Burundi,BDI,4.4635544
Cambodia,KHM,4.635887
Cameroon,CMR,14.155021
Canada,CAN,27.025038
Cape Verde,CPV,15.898386
Central African Republic,CAF,8.462827
Chad,TCD,6.0243893
Chile,CHL,40.153976
China,CHN,8.607577
Colombia,COL,24.606188
Comoros,COM,15.510419
Congo,COG,11.140745
Costa Rica,CRI,32.652946
Cote d'Ivoire,CIV,11.530246
Croatia,HRV,35.697617
Cuba,CUB,24.246813
Cyprus,CYP,23.579716
Czechia,CZE,31.078094
Democratic Republic of Congo,COD,5.6179557
Denmark,DNK,15.071228
Djibouti,DJI,10.716151
Dominica,DMA,32.185028
Dominican Republic,DOM,29.882477
East Timor,TLS,3.0203624
Ecuador,ECU,27.889198
Egypt,EGY,42.357826
El Salvador,SLV,30.722786
Equatorial Guinea,GNQ,18.261003
Eritrea,ERI,3.526189
Estonia,EST,24.981207
Eswatini,SWZ,26.360474
Ethiopia,ETH,2.369134
Fiji,FJI,38.401283
Finland,FIN,25.841282
France,FRA,12.709852
Gabon,GAB,21.065214
Gambia,GMB,10.696513
Georgia,GEO,39.264095
Germany,DEU,24.401688
Ghana,GHA,13.339685
Greece,GRC,33.259403
Greenland,GRL,28.745794
Grenada,GRD,31.125874
Guatemala,GTM,25.86171
Guinea,GIN,8.86702
Guinea-Bissau,GNB,10.902318
Guyana,GUY,28.93201
Haiti,HTI,10.37998
Honduras,HND,29.987526
Hungary,HUN,36.25648
Iceland,ISL,23.153383
India,IND,7.571122
Indonesia,IDN,11.400893
Iran,IRN,25.261658
Iraq,IRQ,36.42911
Ireland,IRL,30.281746
Israel,ISR,23.285547
Italy,ITA,18.037563
Jamaica,JAM,34.829773
Japan,JPN,5.0340834
Jordan,JOR,33.21776
Kazakhstan,KAZ,21.862492
Kenya,KEN,10.030712
Kiribati,KIR,45.006172
Kuwait,KWT,41.28636
Kyrgyzstan,KGZ,20.76793
Laos,LAO,8.48972
Latvia,LVA,27.737549
Lebanon,LBN,31.15567
Lesotho,LSO,19.66638
Liberia,LBR,15.661231
Libya,LBY,33.36376
Lithuania,LTU,26.207373
Luxembourg,LUX,20.666752
Madagascar,MDG,3.8280995
Malawi,MWI,6.3852744
Malaysia,MYS,22.937288
Maldives,MDV,17.316954
Mali,MLI,11.065993
Malta,MLT,33.243935
Marshall Islands,MHL,41.267246
Mauritania,MRT,21.513779
Mauritius,MUS,20.673388
Mexico,MEX,36.702656
Micronesia (country),FSM,46.279476
Moldova,MDA,27.02871
Mongolia,MNG,24.691456
Montenegro,MNE,20.234118
Morocco,MAR,21.533735
Mozambique,MOZ,8.905512
Myanmar,MMR,7.9801545
Namibia,NAM,16.186716
Nauru,NRU,71.184906
Nepal,NPL,7.1911736
Netherlands,NLD,16.816132
New Zealand,NZL,34.359642
Nicaragua,NIC,33.27313
Niger,NER,5.7145605
Nigeria,NGA,11.62984
North Korea,PRK,11.531123
North Macedonia,MKD,30.65815
Norway,NOR,20.430187
Oman,OMN,29.058323
Pakistan,PAK,22.430767
Palau,PLW,42.006973
Palestine,PSE,32.971264
Panama,PAN,36.843
Papua New Guinea,PNG,27.065336
Paraguay,PRY,33.229572
Peru,PER,28.157425
Philippines,PHL,9.254258
Poland,POL,25.723726
Portugal,PRT,23.006374
Puerto Rico,PRI,41.330875
Qatar,QAT,41.91146
Romania,ROU,36.64034
Russia,RUS,21.420443
Rwanda,RWA,4.9020166
Saint Kitts and Nevis,KNA,47.204964
Saint Lucia,LCA,34.529903
Saint Vincent and the Grenadines,VCT,34.29296
Samoa,WSM,62.669434
Sao Tome and Principe,STP,15.775804
Saudi Arabia,SAU,38.78293
Senegal,SEN,9.801421
Serbia,SRB,25.237143
Seychelles,SYC,33.919697
Sierra Leone,SLE,7.069082
Singapore,SGP,15.878724
Slovakia,SVK,29.626179
Slovenia,SVN,22.272335
Solomon Islands,SLB,20.529776
Somalia,SOM,12.515932
South Africa,ZAF,30.865429
South Korea,KOR,7.1282735
South Sudan,SSD,7.8904567
Spain,ESP,19.28985
Sri Lanka,LKA,10.696547
Sudan,SDN,15.467356
Suriname,SUR,30.046003
Sweden,SWE,18.402994
Switzerland,CHE,12.680827
Syria,SYR,29.827124
Tajikistan,TJK,20.313622
Tanzania,TZA,9.989563
Thailand,THA,14.925946
Togo,TGO,11.606833
Tonga,TON,71.568474
Trinidad and Tobago,TTO,31.466585
Tunisia,TUN,27.22567
Turkey,TUR,30.360369
Turkmenistan,TKM,20.524183
Tuvalu,TUV,64.14551
Uganda,UGA,7.646965
Ukraine,UKR,27.759678
United Arab Emirates,ARE,30.26771
United Kingdom,GBR,29.023058
United States,USA,41.57081
Uruguay,URY,35.41038
Uzbekistan,UZB,29.433155
Vanuatu,VUT,21.17987
Venezuela,VEN,23.066704
Vietnam,VNM,2.2934575
Yemen,YEM,11.206609
Zambia,ZMB,9.5852585
Zimbabwe,ZWE,12.747547
